ts,src_ip,src_port,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_qclass,dns_qtype,dns_rcode,dns_AA,dns_RD,dns_RA,dns_rejected,ssl_version,ssl_cipher,ssl_resumed,ssl_established,ssl_subject,ssl_issuer,http_trans_depth,http_method,http_uri,http_version,http_request_body_len,http_response_body_len,http_status_code,http_user_agent,http_orig_mime_types,http_resp_mime_types,weird_name,weird_addl,weird_notice,type
1668406368,192.168.1.2,26817,192.168.1.195,41533,tcp,-,0.0,35,191,S0,4,1,74,0,15,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.180,47380,192.168.1.4,266,udp,dns,0.01588,66,297,SF,4,1,85,1,149,elasticsearch,1,1,3,F,T,F,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,normal
1668406368,192.168.1.2,28714,192.168.1.180,27784,tcp,-,0.0,35,191,S0,4,1,74,0,15,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.2,12931,192.168.1.180,37276,tcp,-,0.0,35,191,S0,4,1,74,0,15,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.3,19694,192.168.1.180,3587,tcp,-,0.0,35,191,S0,4,1,74,0,15,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.9,39324,192.168.1.169,656,tcp,ssl,0.08791,999,1911,RSTO,55,7,1290,5,1896,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.2,34471,192.168.1.195,35770,tcp,-,0.0,35,191,S0,4,1,74,0,15,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.2,13791,192.168.1.180,23377,tcp,-,0.0,35,191,S0,4,1,74,0,15,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.3,40247,192.168.1.180,3929,tcp,-,0.0,35,191,S0,4,1,74,0,15,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.3,24316,192.168.1.180,5816,tcp,-,0.0,35,191,S0,4,1,74,0,15,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.2,10479,192.168.1.180,11173,tcp,-,0.0,35,191,S0,4,1,74,0,15,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.3,13889,192.168.1.7,21616,tcp,-,0.01049,35,191,REJ,4,1,74,1,55,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.3,43148,192.168.1.180,1617,tcp,-,0.0,35,191,S0,4,1,74,0,15,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.2,24823,192.168.1.180,58968,tcp,-,0.0,35,191,S0,4,1,74,0,15,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.2,20450,192.168.1.195,56449,tcp,-,0.0,35,191,S0,4,1,74,0,15,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.3,30192,192.168.1.180,6362,tcp,-,0.0,35,191,S0,4,1,74,0,15,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.2,8602,192.168.1.195,33058,tcp,-,0.0,35,191,S0,4,1,74,0,15,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.2,21782,192.168.1.195,31815,tcp,-,0.0,35,191,S0,4,1,74,0,15,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.2,52047,192.168.1.195,7972,tcp,-,0.0,35,191,S0,4,1,74,0,15,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.2,3734,192.168.1.195,39838,tcp,-,0.0,35,191,S0,4,1,74,0,15,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.2,52909,192.168.1.180,5297,tcp,-,0.0,35,191,S0,4,1,74,0,15,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
1668406368,192.168.1.2,5559,192.168.1.195,62099,tcp,-,0.0,35,191,S0,4,1,74,0,15,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,scanning
